Driver,Team,LapTimeSeconds,LapNumber,Stint,TyreLife,Compound,TrackStatus,PitInTime,PitOutTime
VER,Red Bull Racing,87.902,46,3.0,2.0,HARD,1,,
LEC,Ferrari,88.446,46,3.0,10.0,HARD,1,,
RUS,Mercedes,88.192,46,3.0,11.0,HARD,1,,
NOR,McLaren,88.187,46,3.0,12.0,HARD,1,,
PER,Red Bull Racing,87.914,46,3.0,3.0,HARD,1,,
TSU,AlphaTauri,89.41,46,2.0,23.0,HARD,1,,
PIA,McLaren,88.806,46,3.0,9.0,HARD,1,,
SAI,Ferrari,90.712,46,2.0,22.0,HARD,1,,
ALO,Aston Martin,88.554,46,3.0,10.0,HARD,1,,
HAM,Mercedes,89.729,46,3.0,10.0,HARD,1,,
OCO,Alpine,90.113,46,2.0,30.0,HARD,1,,
STR,Aston Martin,88.239,46,3.0,3.0,MEDIUM,1,,
RIC,AlphaTauri,88.708,46,3.0,14.0,HARD,1,,
GAS,Alpine,89.428,46,3.0,13.0,HARD,1,,
HUL,Haas F1 Team,89.456,46,3.0,12.0,HARD,1,,
ALB,Williams,88.694,46,3.0,2.0,HARD,1,,
ZHO,Alfa Romeo,89.324,46,3.0,8.0,MEDIUM,1,,
BOT,Alfa Romeo,89.998,46,2.0,16.0,MEDIUM,1,,
MAG,Haas F1 Team,89.934,46,3.0,23.0,HARD,1,,
SAR,Williams,88.918,46,3.0,4.0,HARD,1,,
VER,Red Bull Racing,87.962,47,3.0,3.0,HARD,1,,
LEC,Ferrari,88.221,47,3.0,11.0,HARD,1,,
RUS,Mercedes,88.261,47,3.0,12.0,HARD,1,,
NOR,McLaren,88.568,47,3.0,13.0,HARD,1,,
PER,Red Bull Racing,88.401,47,3.0,4.0,HARD,1,,
TSU,AlphaTauri,89.335,47,2.0,24.0,HARD,1,,
PIA,McLaren,89.266,47,3.0,10.0,HARD,1,,
ALO,Aston Martin,88.625,47,3.0,11.0,HARD,1,,
SAI,Ferrari,91.102,47,2.0,23.0,HARD,1,,
HAM,Mercedes,89.528,47,3.0,11.0,HARD,1,,
OCO,Alpine,90.177,47,2.0,31.0,HARD,1,,
STR,Aston Martin,88.535,47,3.0,4.0,MEDIUM,1,,
RIC,AlphaTauri,88.571,47,3.0,15.0,HARD,1,,
GAS,Alpine,89.726,47,3.0,14.0,HARD,1,,
HUL,Haas F1 Team,90.035,47,3.0,13.0,HARD,1,,
ALB,Williams,88.74,47,3.0,3.0,HARD,1,,
ZHO,Alfa Romeo,89.409,47,3.0,9.0,MEDIUM,1,,
BOT,Alfa Romeo,90.448,47,2.0,17.0,MEDIUM,1,,
MAG,Haas F1 Team,91.923,47,3.0,24.0,HARD,1,,
SAR,Williams,89.458,47,3.0,5.0,HARD,1,,
VER,Red Bull Racing,87.968,48,3.0,4.0,HARD,1,,
LEC,Ferrari,88.419,48,3.0,12.0,HARD,1,,
RUS,Mercedes,88.53,48,3.0,13.0,HARD,1,,
NOR,McLaren,89.763,48,3.0,14.0,HARD,1,,
PER,Red Bull Racing,87.97,48,3.0,5.0,HARD,1,,
TSU,AlphaTauri,90.932,48,2.0,25.0,HARD,1,,
PIA,McLaren,89.061,48,3.0,11.0,HARD,1,,
ALO,Aston Martin,88.592,48,3.0,12.0,HARD,1,,
HAM,Mercedes,88.814,48,3.0,12.0,HARD,1,,
SAI,Ferrari,90.565,48,2.0,24.0,HARD,1,,
OCO,Alpine,90.359,48,2.0,32.0,HARD,1,,
STR,Aston Martin,88.639,48,3.0,5.0,MEDIUM,1,,
RIC,AlphaTauri,88.702,48,3.0,16.0,HARD,1,,
GAS,Alpine,89.505,48,3.0,15.0,HARD,1,,
HUL,Haas F1 Team,90.121,48,3.0,14.0,HARD,1,,
