Driver,Team,LapNumber,micro_sector,Speed,Throttle,Brake,rpm,TyreLife,AirTemp,LapTimeSeconds,TimeSeconds
ALB,Williams,45,86,144.0,11.8,0.0,9022.8,1.0,26.5,87.845,1.28
PIA,McLaren,46,34,275.0,99.0,0.0,10997.0,9.0,26.5,88.806,0.6799999999999999
SAR,Williams,45,79,271.0,99.33333333333333,0.0,11249.666666666666,3.0,26.5,88.791,0.88
VER,Red Bull Racing,46,57,265.0,100.0,0.0,10523.0,2.0,26.5,87.902,0.6
TSU,AlphaTauri,46,36,285.3333333333333,100.0,0.0,11250.666666666666,23.0,26.5,89.41000000000001,0.88
LEC,Ferrari,46,51,90.66666666666667,45.44444444444444,0.0,7314.888888888889,10.0,26.5,88.446,2.36
HAM,Mercedes,46,25,210.25,0.0,100.0,8759.25,10.0,26.5,89.729,1.04
PER,Red Bull Racing,46,42,307.0,100.0,0.0,10861.5,3.0,26.5,87.914,0.6
ZHO,Alfa Romeo,45,86,139.5,5.333333333333333,33.333333333333336,8646.333333333334,7.0,26.5,89.89,1.48
HUL,Haas F1 Team,45,91,245.0,94.0,0.0,11322.666666666666,11.0,26.5,89.5,0.6000000000000001
RIC,AlphaTauri,46,7,151.2,19.2,0.0,9000.4,14.0,26.5,88.708,1.04
PIA,McLaren,46,35,282.6666666666667,99.0,0.0,11310.666666666666,9.0,26.5,88.806,0.6000000000000001
MAG,Haas F1 Team,45,82,115.85714285714286,1.4285714285714286,71.42857142857143,8204.285714285714,22.0,26.5,90.11,1.56
NOR,McLaren,46,44,306.6666666666667,99.0,0.0,10783.666666666666,12.0,26.5,88.187,0.6000000000000001
ALO,Aston Martin,46,27,101.625,0.625,62.5,8273.75,10.0,26.5,88.554,1.92
OCO,Alpine,46,19,275.0,100.0,0.0,10542.0,30.0,26.5,90.113,0.64
PER,Red Bull Racing,46,43,309.0,100.0,0.0,10949.666666666666,3.0,26.5,87.914,0.64
BOT,Alfa Romeo,45,84,127.0,14.5,0.0,8054.666666666667,15.0,26.5,90.495,1.4
STR,Aston Martin,46,10,230.25,99.25,0.0,10909.75,3.0,26.5,88.239,0.88
VER,Red Bull Racing,46,58,270.6666666666667,100.0,0.0,10816.666666666666,2.0,26.5,87.902,0.64
SAR,Williams,45,80,261.6666666666667,0.0,33.333333333333336,10756.0,3.0,26.5,88.791,0.6
TSU,AlphaTauri,46,37,289.6666666666667,100.0,0.0,11399.0,23.0,26.5,89.41000000000001,0.6
GAS,Alpine,46,0,233.33333333333334,100.0,0.0,11247.666666666666,13.0,26.5,89.428,0.7080000000000006
ALB,Williams,45,87,151.0,60.5,0.0,9716.5,1.0,26.5,87.845,0.96
HUL,Haas F1 Team,45,92,247.0,71.0,0.0,11368.333333333334,11.0,26.5,89.5,0.8
NOR,McLaren,46,45,305.5,99.0,0.0,10741.0,12.0,26.5,88.187,0.44
HAM,Mercedes,46,26,134.0,0.0,100.0,8409.0,10.0,26.5,89.729,1.52
PIA,McLaren,46,36,289.6666666666667,98.66666666666667,0.0,11283.0,9.0,26.5,88.806,0.8
OCO,Alpine,46,20,282.0,100.0,0.0,10781.333333333334,30.0,26.5,90.113,0.76
PER,Red Bull Racing,46,44,310.0,100.0,0.0,11014.0,3.0,26.5,87.914,0.76
VER,Red Bull Racing,46,59,279.3333333333333,100.0,0.0,11072.666666666666,2.0,26.5,87.902,0.76
SAI,Ferrari,46,27,91.28571428571429,19.571428571428573,42.857142857142854,6711.428571428572,22.0,26.5,90.712,1.92
STR,Aston Martin,46,11,243.33333333333334,87.0,0.0,10294.0,3.0,26.5,88.23899999999999,0.88
ZHO,Alfa Romeo,45,87,142.0,72.0,0.0,9312.25,7.0,26.5,89.89,1.08
GAS,Alpine,46,1,247.5,100.0,0.0,10828.0,13.0,26.5,89.428,0.52
