[2026-04-18 15:26:38,532] 205 root - INFO - Assigning Laps to Telemetry...
[2026-04-18 15:26:38,559] 208 root - INFO - Building micro-sectors and aggregate...
[2026-04-18 15:26:38,582] 193 root - INFO - Downloading telemetry for driver 23
[2026-04-18 15:26:38,582] 31 root - INFO - Requesting: https://api.openf1.org/v1/car_data?session_key=9197&driver_number=23
[2026-04-18 15:26:42,849] 37 root - INFO - Success! Response code: 200
[2026-04-18 15:26:42,922] 205 root - INFO - Assigning Laps to Telemetry...
[2026-04-18 15:26:42,948] 208 root - INFO - Building micro-sectors and aggregate...
[2026-04-18 15:26:42,973] 193 root - INFO - Downloading telemetry for driver 24
[2026-04-18 15:26:42,973] 31 root - INFO - Requesting: https://api.openf1.org/v1/car_data?session_key=9197&driver_number=24
[2026-04-18 15:26:47,716] 37 root - INFO - Success! Response code: 200
[2026-04-18 15:26:47,793] 205 root - INFO - Assigning Laps to Telemetry...
[2026-04-18 15:26:47,819] 208 root - INFO - Building micro-sectors and aggregate...
[2026-04-18 15:26:47,848] 193 root - INFO - Downloading telemetry for driver 27
[2026-04-18 15:26:47,848] 31 root - INFO - Requesting: https://api.openf1.org/v1/car_data?session_key=9197&driver_number=27
[2026-04-18 15:26:51,420] 37 root - INFO - Success! Response code: 200
[2026-04-18 15:26:51,495] 205 root - INFO - Assigning Laps to Telemetry...
[2026-04-18 15:26:51,521] 208 root - INFO - Building micro-sectors and aggregate...
[2026-04-18 15:26:51,546] 193 root - INFO - Downloading telemetry for driver 31
[2026-04-18 15:26:51,547] 31 root - INFO - Requesting: https://api.openf1.org/v1/car_data?session_key=9197&driver_number=31
[2026-04-18 15:26:55,509] 37 root - INFO - Success! Response code: 200
[2026-04-18 15:26:55,591] 205 root - INFO - Assigning Laps to Telemetry...
[2026-04-18 15:26:55,623] 208 root - INFO - Building micro-sectors and aggregate...
[2026-04-18 15:26:55,658] 193 root - INFO - Downloading telemetry for driver 44
[2026-04-18 15:26:55,658] 31 root - INFO - Requesting: https://api.openf1.org/v1/car_data?session_key=9197&driver_number=44
[2026-04-18 15:26:59,281] 37 root - INFO - Success! Response code: 200
[2026-04-18 15:26:59,356] 205 root - INFO - Assigning Laps to Telemetry...
[2026-04-18 15:26:59,382] 208 root - INFO - Building micro-sectors and aggregate...
[2026-04-18 15:26:59,407] 193 root - INFO - Downloading telemetry for driver 55
[2026-04-18 15:26:59,407] 31 root - INFO - Requesting: https://api.openf1.org/v1/car_data?session_key=9197&driver_number=55
[2026-04-18 15:27:03,257] 37 root - INFO - Success! Response code: 200
[2026-04-18 15:27:03,330] 205 root - INFO - Assigning Laps to Telemetry...
[2026-04-18 15:27:03,357] 208 root - INFO - Building micro-sectors and aggregate...
[2026-04-18 15:27:03,386] 193 root - INFO - Downloading telemetry for driver 63
[2026-04-18 15:27:03,386] 31 root - INFO - Requesting: https://api.openf1.org/v1/car_data?session_key=9197&driver_number=63
[2026-04-18 15:27:07,791] 37 root - INFO - Success! Response code: 200
[2026-04-18 15:27:07,863] 205 root - INFO - Assigning Laps to Telemetry...
[2026-04-18 15:27:07,889] 208 root - INFO - Building micro-sectors and aggregate...
[2026-04-18 15:27:07,911] 193 root - INFO - Downloading telemetry for driver 77
[2026-04-18 15:27:07,911] 31 root - INFO - Requesting: https://api.openf1.org/v1/car_data?session_key=9197&driver_number=77
[2026-04-18 15:27:12,581] 37 root - INFO - Success! Response code: 200
[2026-04-18 15:27:12,662] 205 root - INFO - Assigning Laps to Telemetry...
[2026-04-18 15:27:12,690] 208 root - INFO - Building micro-sectors and aggregate...
[2026-04-18 15:27:12,713] 193 root - INFO - Downloading telemetry for driver 81
[2026-04-18 15:27:12,713] 31 root - INFO - Requesting: https://api.openf1.org/v1/car_data?session_key=9197&driver_number=81
[2026-04-18 15:27:18,677] 37 root - INFO - Success! Response code: 200
[2026-04-18 15:27:18,751] 205 root - INFO - Assigning Laps to Telemetry...
[2026-04-18 15:27:18,776] 208 root - INFO - Building micro-sectors and aggregate...
[2026-04-18 15:27:18,804] 543 root - INFO - =======> Merging weather data...
[2026-04-18 15:27:18,823] 547 root - INFO - =======> Merging driver data...
[2026-04-18 15:27:18,827] 550 root - INFO - =======> Merging stint data...
[2026-04-18 15:27:19,344] 29 root - INFO - Success! Micro-telemetry data saved to data/main/telemetry_micro_all_2023_AbuDhabi_R_m100.csv
[2026-04-18 15:27:19,349] 32 root - INFO - Success! Lap data saved to data/main/laps_all_2023_AbuDhabi_R.csv
[2026-04-18 15:27:19,349] 34 root - INFO - =====Data Collection execution finished=====
