Year,Event,Session,Driver,Team,LapNumber,micro_sector,Speed,Throttle,TyreLife,AirTemp,LapTimeSeconds,TimeSeconds
2023,Abu Dhabi,R,VER,Red Bull Racing,1,44,144.90795648431882,32.89691720710975,1.0,27.7,92.19,79.089588235
2023,Abu Dhabi,R,VER,Red Bull Racing,1,45,185.46913852949336,96.85178491428572,1.0,27.7,92.19,81.3735
2023,Abu Dhabi,R,VER,Red Bull Racing,1,46,231.87011344761905,94.9944448,1.0,27.7,92.19,83.0615
2023,Abu Dhabi,R,VER,Red Bull Racing,1,47,240.28751155851853,80.20306694814815,1.0,27.7,92.19,84.740166666
2023,Abu Dhabi,R,VER,Red Bull Racing,1,48,230.67474312311688,50.33234451948052,1.0,27.7,92.19,86.146
2023,Abu Dhabi,R,VER,Red Bull Racing,1,49,140.7727777282241,11.0683447843728,1.0,27.7,92.19,88.247045454
2023,Abu Dhabi,R,VER,Red Bull Racing,1,50,161.14738347851852,92.43489533333333,1.0,27.7,92.19,90.573444444
2023,Abu Dhabi,R,VER,Red Bull Racing,1,51,214.67407977904762,100.0,1.0,27.7,92.19,92.033875
2023,Abu Dhabi,R,VER,Red Bull Racing,2,0,237.72472106943724,100.0,2.0,27.7,90.71,0.661333333
2023,Abu Dhabi,R,VER,Red Bull Racing,2,1,262.9537144748052,100.0,2.0,27.7,90.71,2.2655
2023,Abu Dhabi,R,VER,Red Bull Racing,2,2,267.7833568273733,60.6975121254804,2.0,27.7,90.71,3.5511
2023,Abu Dhabi,R,VER,Red Bull Racing,2,3,182.434880957193,1.6016441263157895,2.0,27.7,90.71,5.253315789
2023,Abu Dhabi,R,VER,Red Bull Racing,2,4,169.46557261511109,85.95077666133334,2.0,27.7,90.71,7.260466666
2023,Abu Dhabi,R,VER,Red Bull Racing,2,5,219.28923130761495,97.80569682763132,2.0,27.7,90.71,9.063214285
2023,Abu Dhabi,R,VER,Red Bull Racing,2,6,236.69653394909093,85.98904762787697,2.0,27.7,90.71,10.695833333
2023,Abu Dhabi,R,VER,Red Bull Racing,2,7,244.7703508,79.58917333333333,2.0,27.7,90.71,12.165916666
2023,Abu Dhabi,R,VER,Red Bull Racing,2,8,245.45488605090907,86.06488588883117,2.0,27.7,90.71,13.774363636
2023,Abu Dhabi,R,VER,Red Bull Racing,2,9,254.70139030233767,97.24943149090909,2.0,27.7,90.71,15.103090909
2023,Abu Dhabi,R,VER,Red Bull Racing,2,10,268.40979568158167,100.0,2.0,27.7,90.71,16.357272727
2023,Abu Dhabi,R,VER,Red Bull Racing,2,11,280.1428125931523,100.0,2.0,27.7,90.71,17.728454545
2023,Abu Dhabi,R,VER,Red Bull Racing,2,12,277.0479176888889,31.583338666666666,2.0,27.7,90.71,19.090888888
2023,Abu Dhabi,R,VER,Red Bull Racing,2,13,174.9835016542857,0.0,2.0,27.7,90.71,20.7926875
2023,Abu Dhabi,R,VER,Red Bull Racing,2,14,112.61427949985678,36.43922851393316,2.0,27.7,90.71,23.38447826
2023,Abu Dhabi,R,VER,Red Bull Racing,2,15,180.96194312126985,100.0,2.0,27.7,90.71,25.925666666
2023,Abu Dhabi,R,VER,Red Bull Racing,2,16,227.7495665962482,100.0,2.0,27.7,90.71,27.590454545
2023,Abu Dhabi,R,VER,Red Bull Racing,2,17,256.45574591555555,100.0,2.0,27.7,90.71,29.095833333
2023,Abu Dhabi,R,VER,Red Bull Racing,2,18,273.21896788963926,100.0,2.0,27.7,90.71,30.452090909
2023,Abu Dhabi,R,VER,Red Bull Racing,2,19,283.39494761777775,100.0,2.0,27.7,90.71,31.662625
2023,Abu Dhabi,R,VER,Red Bull Racing,2,20,292.5499998222222,100.0,2.0,27.7,90.71,32.9717
2023,Abu Dhabi,R,VER,Red Bull Racing,2,21,296.8584984692641,100.0,2.0,27.7,90.71,34.133444444
2023,Abu Dhabi,R,VER,Red Bull Racing,2,22,301.1117233890909,100.0,2.0,27.7,90.71,35.4655
2023,Abu Dhabi,R,VER,Red Bull Racing,2,23,303.0710317714286,100.0,2.0,27.7,90.71,36.662
2023,Abu Dhabi,R,VER,Red Bull Racing,2,24,292.25875104,53.718751999999995,2.0,27.7,90.71,37.8416
2023,Abu Dhabi,R,VER,Red Bull Racing,2,25,162.54893144,0.0,2.0,27.7,90.71,39.710642857
2023,Abu Dhabi,R,VER,Red Bull Racing,2,26,82.200005704127,17.032548175776817,2.0,27.7,90.71,42.649
2023,Abu Dhabi,R,VER,Red Bull Racing,2,27,144.3215975414901,85.60852898777854,2.0,27.7,90.71,46.245157894
2023,Abu Dhabi,R,VER,Red Bull Racing,2,28,219.13776418909092,100.0,2.0,27.7,90.71,48.384818181
2023,Abu Dhabi,R,VER,Red Bull Racing,2,29,250.2794978053142,100.0,2.0,27.7,90.71,49.822
2023,Abu Dhabi,R,VER,Red Bull Racing,2,30,269.29854122666666,100.0,2.0,27.7,90.71,51.2395
2023,Abu Dhabi,R,VER,Red Bull Racing,2,31,282.1810792290909,100.0,2.0,27.7,90.71,52.517727272
2023,Abu Dhabi,R,VER,Red Bull Racing,2,32,290.2713538,100.0,2.0,27.7,90.71,53.77525
2023,Abu Dhabi,R,VER,Red Bull Racing,2,33,296.61851843950615,100.0,2.0,27.7,90.71,54.935222222
2023,Abu Dhabi,R,VER,Red Bull Racing,2,34,296.5200679895805,46.979592771324846,2.0,27.7,90.71,56.195
2023,Abu Dhabi,R,VER,Red Bull Racing,2,35,239.00456593290633,0.0,2.0,27.7,90.71,57.58976923
2023,Abu Dhabi,R,VER,Red Bull Racing,2,36,165.63002006065358,6.940894912418301,2.0,27.7,90.71,59.45417647
2023,Abu Dhabi,R,VER,Red Bull Racing,2,37,171.0294656377566,78.99669972757671,2.0,27.7,90.71,61.710866666
2023,Abu Dhabi,R,VER,Red Bull Racing,2,38,209.07439521531333,100.0,2.0,27.7,90.71,63.405
2023,Abu Dhabi,R,VER,Red Bull Racing,2,39,240.17560128,100.0,2.0,27.7,90.71,65.055916666
2023,Abu Dhabi,R,VER,Red Bull Racing,2,40,261.28065444761904,83.33333333333333,2.0,27.7,90.71,66.524583333
2023,Abu Dhabi,R,VER,Red Bull Racing,2,41,243.74671048588743,0.0,2.0,27.7,90.71,67.964727272
2023,Abu Dhabi,R,VER,Red Bull Racing,2,42,181.1894331846239,0.0,2.0,27.7,90.71,69.685941176
2023,Abu Dhabi,R,VER,Red Bull Racing,2,43,112.02790315550034,35.13902123855198,2.0,27.7,90.71,72.438608695
2023,Abu Dhabi,R,VER,Red Bull Racing,2,44,138.9725115387013,26.019675109610386,2.0,27.7,90.71,75.27065
2023,Abu Dhabi,R,VER,Red Bull Racing,2,45,142.9683519709091,44.74624878545455,2.0,27.7,90.71,77.894772727
2023,Abu Dhabi,R,VER,Red Bull Racing,2,46,196.59226003809525,99.97666663619047,2.0,27.7,90.71,80.023333333
2023,Abu Dhabi,R,VER,Red Bull Racing,2,47,232.753400694026,83.64585284987014,2.0,27.7,90.71,81.659272727
2023,Abu Dhabi,R,VER,Red Bull Racing,2,48,234.5440485031233,71.71244958694764,2.0,27.7,90.71,83.208538461
2023,Abu Dhabi,R,VER,Red Bull Racing,2,49,221.20440863589744,21.862983384615386,2.0,27.7,90.71,84.76676923
2023,Abu Dhabi,R,VER,Red Bull Racing,2,50,135.23579224457143,26.342146081142857,2.0,27.7,90.71,86.9787
2023,Abu Dhabi,R,VER,Red Bull Racing,2,51,176.51819809357656,99.6885416,2.0,27.7,90.71,89.2815625
2023,Abu Dhabi,R,VER,Red Bull Racing,2,52,215.19184202148958,100.0,2.0,27.7,90.71,90.575
2023,Abu Dhabi,R,VER,Red Bull Racing,3,0,234.88563690285716,100.0,3.0,27.7,90.408,0.655571428
2023,Abu Dhabi,R,VER,Red Bull Racing,3,1,261.4056303709091,100.0,3.0,27.7,90.408,2.206181818
2023,Abu Dhabi,R,VER,Red Bull Racing,3,2,268.87554181818183,46.72528421818181,3.0,27.7,90.408,3.507545454
2023,Abu Dhabi,R,VER,Red Bull Racing,3,3,183.49919848224332,2.9779411764705883,3.0,27.7,90.408,5.237235294
2023,Abu Dhabi,R,VER,Red Bull Racing,3,4,168.56533626778028,84.25846081388735,3.0,27.7,90.408,7.337
2023,Abu Dhabi,R,VER,Red Bull Racing,3,5,218.5976927873016,91.4286836,3.0,27.7,90.408,9.234333333
2023,Abu Dhabi,R,VER,Red Bull Racing,3,6,230.00024036923077,77.28201908923077,3.0,27.7,90.408,10.732153846
2023,Abu Dhabi,R,VER,Red Bull Racing,3,7,235.56739027503818,77.73701298701299,3.0,27.7,90.408,12.238727272
2023,Abu Dhabi,R,VER,Red Bull Racing,3,8,239.44406551919192,86.29525218262626,3.0,27.7,90.408,13.869272727
2023,Abu Dhabi,R,VER,Red Bull Racing,3,9,252.399332736,100.0,3.0,27.7,90.408,15.284
2023,Abu Dhabi,R,VER,Red Bull Racing,3,10,266.9580488969697,100.0,3.0,27.7,90.408,16.551181818
2023,Abu Dhabi,R,VER,Red Bull Racing,3,11,278.41271800930207,100.0,3.0,27.7,90.408,17.8276
2023,Abu Dhabi,R,VER,Red Bull Racing,3,12,277.78469606318316,35.416666666666664,3.0,27.7,90.408,19.24625
2023,Abu Dhabi,R,VER,Red Bull Racing,3,13,178.34330617142857,0.0,3.0,27.7,90.408,20.9776875
2023,Abu Dhabi,R,VER,Red Bull Racing,3,14,109.93723538756299,33.06931419334857,3.0,27.7,90.408,23.59892
2023,Abu Dhabi,R,VER,Red Bull Racing,3,15,181.56563410838342,100.0,3.0,27.7,90.408,26.284928571
2023,Abu Dhabi,R,VER,Red Bull Racing,3,16,226.20178440090703,100.0,3.0,27.7,90.408,28.049285714
