variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
alpha_driver[1],-0.0093647050892,-0.009338445800000001,0.001841876741965817,0.0018342690876299989,-0.0123999143,-0.00643311385,1.0007822090035565,532.5218197466137,1047.9327063320723
alpha_driver[2],-0.006760032701505,-0.00673639545,0.0018081827506221829,0.0017487956408999996,-0.00971153962,-0.00377296119,1.0020210354936707,512.6743259778648,1050.4265978036963
alpha_driver[3],-0.0028019863813183,-0.0027803439,0.0018194308592949361,0.0017677742552399999,-0.005786200925,1.377594949999996e-4,1.0011975673835576,554.3228120801367,1141.1007462401315
alpha_driver[4],-0.004795546291644,-0.0047851422,0.0018566067801805198,0.0018248803748700004,-0.00782775417,-0.0017787114500000033,1.0021046110636733,573.8915858044121,1040.0662194913027
alpha_driver[5],-0.00610130810469025,-0.0060699967,0.0018426038210599407,0.0017795309025900004,-0.009133137194999998,-0.0031728653600000003,1.0045779528394263,509.4376827408885,1031.1111652683082
alpha_driver[6],0.0027795177168547,0.0027911578,0.001873823486811557,0.00179630889375,-2.3176089749999995e-4,0.005810251225,1.0008186625655267,587.6812016067189,1392.6997341666615
alpha_driver[7],-0.0062311391313285,-0.0062138034499999995,0.0018551904753163577,0.0018059618058300002,-0.009257426135,-0.0032054318650000004,1.0020161847805216,597.8701799863989,1220.064457510112
alpha_driver[8],-0.00313414171047045,-0.0031255541,0.0018362605362300761,0.0017582592990899994,-0.0061121975099999995,-1.3702189950000194e-4,1.0027266255959681,541.14300075891515,1143.1531358902346
alpha_driver[9],-0.0023881058053897724,-0.00240614005,0.001837533613570261,0.0018329440880099997,-0.00537509865,5.831420299999974e-4,1.001021215171931,510.6574278328551,943.0204678696722
alpha_driver[10],-8.530617721416726e-4,-8.61130005e-4,0.0018211886205800093,0.001774445162049,-0.0037818036899999997,0.002116435095,1.0022624823590813,526.6182019574342,1077.0425430712257
alpha_driver[11],0.00231103342584116,0.0023404588,0.00197101073753915,0.0019091377189499996,-8.447825845e-4,0.005577701614999997,1.001524948475235,585.1280368479418,1286.6727801605293
alpha_driver[12],5.3084025430385e-4,5.34885145e-4,0.001858280479012527,0.001844717681478,-0.002402068875,0.003464255955,1.001802776601139,566.167477455728,1144.744959582987
alpha_driver[13],0.003472573705390375,0.00348702095,0.0018267464928434457,0.0017800076326200003,4.46158985e-4,0.006485860099999999,1.0016303331461562,538.8995517431807,1149.9681795552835
alpha_driver[14],0.004908271190703,0.004914566,0.0017835944014681219,0.0017558144916900002,0.0021104742950000003,0.007829002074999997,1.0012966334759967,536.8329133776779,1174.7364510338157
alpha_driver[15],-0.0014625433640475525,-0.0014737944,0.0018634730468698505,0.0018586839513899998,-0.004454983954999999,0.0015329275699999985,1.001605220909323,591.0667608422498,1289.1100352359147
alpha_driver[16],-0.002193117409268305,-0.0021935992,0.001870699507083919,0.0018703333326299998,-0.00522475134,8.112769929999984e-4,1.0019380095421522,548.9256811264033,1227.3330358293083
alpha_driver[17],0.009710956072914,0.00971162795,0.0018609556174921432,0.0018036894989399992,0.006659962535,0.012785527849999999,1.0020514653544286,534.6570722464569,1064.282740750553
alpha_driver[18],0.00531845635995825,0.0053319773000000004,0.0018490587335374712,0.0018372949259699994,0.0022869001950000002,0.008324329169999997,1.0012327696705121,548.5728090729025,1049.985859753062
alpha_driver[19],0.0079200483857375,0.0078902071,0.0017918239584435946,0.0017220510195000002,0.00507903006,0.010837870099999999,1.000746741468754,511.7189319969144,1085.9096239784717
alpha_driver[20],0.00677378400072675,0.0067764064,0.0018223440422887151,0.0017636114850899996,0.0038668986000000003,0.00976027607,1.0015902037653392,523.5324166281606,1227.7700051023435
