variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
sigma_driver,0.00262283358176535,0.0022082246999999998,0.0020669468739181623,0.0018988544053499996,2.19562779e-4,0.0065021282199999985,1.0016672376326223,1222.9409661873262,842.3557177005712
sigma_team,0.0030435834701955,0.00238732305,0.002629415834330652,0.0022809265781400002,1.819196255e-4,0.00813026637,0.9992359075209417,1116.232314045365,559.4607728659129
sigma_micro,0.061562267718,0.061289527999999996,0.0052480829973997455,0.0051431364348000115,0.053244861649999996,0.07013728185,1.0009296067778548,545.3737190375848,1093.1309364945878
sigma,0.152132648185,0.15209474,0.0029733399014330647,0.003005178309000008,0.147310183,0.15712405299999999,0.9998301401024096,1586.0000199990432,1412.0296166277606
nu,5.9678957644,5.9143573499999995,0.5566092023571314,0.5553955257899998,5.140778655000001,6.94143902,0.9998423636989839,1603.9308643416016,1669.8328130743603
driver_frac,0.47603346010095554,0.44642214,0.3593915171297874,0.5340301663725,0.005043999000000001,0.9950650765,1.0001881072925132,749.417893145981,631.980558178768
team_frac,0.5239665399383654,0.55357786,0.35939151716811035,0.534030170079,0.0049349193149999995,0.994956002,1.0001877235757901,749.4292249782504,631.980558178768
