"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"model2",0,0,1219.56074705169,58.8788256093645,100.351019776007,1.41390515674726,-2439.12149410338,117.757651218729
"model1",-17.2680164324003,3.84454224460465,1202.29273061929,58.449190173431,104.158159775361,1.44619701400217,-2404.58546123858,116.898380346862
