variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
sigma_driver,0.00584906495525,0.005677163900000001,0.0011172716792442671,0.0010225240899300009,0.00438771531,0.007917002344999998,1.0058932684853308,643.7409213382484,741.8466789945043
beta_tyre,0.00533636107135,0.0053304745,3.8743827490420935e-4,3.777566207099994e-4,0.00470277694,0.005975829045,0.9998332263424474,3989.532568125118,3467.5602651869835
beta_temp,0.0109577705386,0.0109542635,4.084255113896696e-4,4.097810031000005e-4,0.010284557000000001,0.01164170335,1.0001650187188609,4393.442550724748,3450.684258147488
beta_status,-0.0018802552842155,-0.0018780841,6.172636464084212e-4,6.124066107599999e-4,-0.0028948550450000003,-8.699990605000001e-4,1.00038739865358,4756.356952406612,2540.1235134262324
sigma,0.005551122086975,0.0055445376,2.0421085524588764e-4,1.9874593998000007e-4,0.005222729135,0.005899963205,1.0002025175982645,3347.991981053734,2380.9195718022756
