variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,model,effect
alpha_driver[1],-1.55662677420895e-4,-4.9017698499999996e-5,0.0030952709888774654,0.00172957365777,-0.005060286585,0.004506581549999995,0.9998320807742708,2025.598497256266,1638.3317146018155,Main (MCMC),Driver
alpha_driver[2],-3.6074401206450513e-4,-1.0947084e-4,0.0031153344062066074,0.001814181621924,-0.005338454625,0.00429361493,1.0000968631225469,2276.627588867925,1575.101689129235,Main (MCMC),Driver
alpha_driver[3],-2.2740487442314008e-4,-2.5578917e-5,0.003163399570335942,0.0016866948153342002,-0.0053735588,0.004523441209999995,1.0010514030390776,2125.9096027758433,1507.4635565827311,Main (MCMC),Driver
alpha_driver[4],1.2558193116972506e-4,1.4016477499999999e-5,0.0029242809168924604,0.0016206401009085,-0.004472877605000001,0.00516244275,1.0029169763547194,1993.85092028528,1608.030887748592,Main (MCMC),Driver
alpha_driver[5],-3.6831425102076e-4,-7.5718184e-5,0.0032531326265469247,0.0018342393615,-0.0059598918199999995,0.004523466279999999,1.0000282349794507,2043.248282697477,1638.8234893597382,Main (MCMC),Driver
alpha_driver[6],-4.254813451518997e-5,-1.36308005e-5,0.0031215897692133984,0.00183055747266,-0.005164729769999999,0.005064249529999999,1.0004785499054316,2523.2410742311354,1620.5892021040215,Main (MCMC),Driver
alpha_driver[7],1.5358392140372493e-4,3.09531295e-5,0.0030639571223549495,0.0017139826057766998,-0.004489817445,0.005213152055,1.0000300693887194,2361.6661262098246,1785.4833544392714,Main (MCMC),Driver
alpha_driver[8],3.1035286513828475e-4,2.50979265e-5,0.0031725835542530992,0.0017306539149710997,-0.004626612955,0.005613490630000001,1.0004256712199358,1681.773289311893,1399.8542226725513,Main (MCMC),Driver
alpha_driver[9],-8.922242826299509e-5,-2.4864753e-5,0.0028932574432600318,0.0016563055628321997,-0.004748007265,0.0043151586399999995,1.0006950853014118,2216.308442550274,1929.4292249901237,Main (MCMC),Driver
alpha_driver[10],-2.3679343629419007e-4,-2.01786965e-5,0.0030415086562312873,0.0018029822935509,-0.005348429229999999,0.00412199446,1.0058502588515281,2040.3809872671945,1678.399384440121,Main (MCMC),Driver
alpha_driver[11],-1.3297700111463502e-4,-4.1747042e-5,0.0030755967038838894,0.00171907558956,-0.00510848645,0.004478132044999998,1.0012702507613167,2197.2541334130665,1753.093836644905,Main (MCMC),Driver
alpha_driver[12],1.6131263052087004e-4,2.494394e-5,0.0030758865519902824,0.0018355536122699996,-0.004708210615000001,0.005222717355,1.0012553206393746,1964.6982441570506,1408.0788439455375,Main (MCMC),Driver
alpha_driver[13],1.623112987961195e-4,4.2531459e-5,0.0031471176990735057,0.00161102688915,-0.004678521619999999,0.005175381449999998,1.0012020983711107,2050.47208463766,1259.4155715578395,Main (MCMC),Driver
alpha_driver[14],1.6244467289291e-4,1.80700075e-5,0.0029242352330824724,0.0016840028963204998,-0.0043265180399999995,0.005194817059999997,1.0004152460844773,2320.2210510631667,1856.1983619418786,Main (MCMC),Driver
alpha_driver[15],4.7009901522622e-4,8.31692695e-5,0.0034237898186466093,0.0017238650547299998,-0.004288254494999999,0.006333958554999997,1.000198194835246,2003.5380998834705,1438.5327040990974,Main (MCMC),Driver
alpha_driver[16],-4.1512961778523283e-4,-9.4627448e-5,0.0030653165407918963,0.0017408706961547999,-0.00602742935,0.003993285034999998,0.9999464389550601,2418.826284285672,1895.9637231497638,Main (MCMC),Driver
alpha_driver[17],-1.5794744107157493e-4,-2.924176e-5,0.003064820482246335,0.001740719978004,-0.005345393905000001,0.004649123799999999,1.0008264287139732,2322.5994973144057,1718.5382401920965,Main (MCMC),Driver
alpha_driver[18],2.23457198486715e-4,3.44179415e-5,0.0030054215172095455,0.0017104581253199998,-0.004431084555,0.005451891924999998,1.0013929446094625,1977.371668698191,1356.02162991868,Main (MCMC),Driver
alpha_driver[19],2.0419287159306504e-4,3.3181396e-5,0.003180497614079655,0.0017263255094904,-0.0046664921,0.005356223139999999,1.0005429869066675,2073.4814178159736,1626.7786420364648,Main (MCMC),Driver
alpha_driver[20],1.9599754695305002e-4,5.1839979e-5,0.00296798729768466,0.0017896393865154,-0.00422494297,0.00527572551,1.0072012097683192,2295.5489756421425,1562.00791178208,Main (MCMC),Driver
